1011053,Maelstrom,4
1011328,Maestro,28
1010867,Magdalene,7
1009414,Maggott,33
1010942,Magik (Amanda Sefton),2
1009415,Magik (Illyana Rasputin),135
1011135,Maginty,0
1009416,Magma (Amara Aquilla),63
1009417,Magneto,490
1010944,Magneto (Age of Apocalypse),9
1010945,Magneto (House of M),10
1010943,Magneto (Ultimate),36
1017477,Magneto (X-Men: Battle of the Atom),0
1010904,Magus (Adam Warlock),18
1011364,Magus (Technarch),4
1011085,Major Mapleleaf,0
1010725,Makkari,18
1009242,Malcolm Colcord,9
1013479,Malekith,17
1011229,Malice (Earth-161),0
1009420,Man-Thing,159
1010811,Man-Wolf,30
1009421,Mandarin,80
1011243,Mandrill,1
1009422,Mandroid,2
1009423,Manta,9
1011026,Mantis,62
1009424,Marauders,29
1015018,Marcus Van Sciver,0
1011335,Maria Hill,111
1009735,Mariko Yashida,24
1009425,Marrow,94
1011173,Marten Broadcloak,0
1011263,Martin Li,0
1011350,Marvel Apes,9
1009427,Marvel Boy,50
1011002,Marvel Zombies,35
1011495,Marvelman,13
1011417,Marvex,1
1009708,Mary Jane Watson,445
1010993,Mary Jane Watson (House of M),2
1011203,Mary Jane Watson (Ultimate),45
1010869,Masked Marvel (Unrevealed),3
1010367,Masque,35
1010732,Master Chief,6
1009433,Master Mold,9
1009434,Mastermind,46
1011279,Masters of Evil,24
1010877,Mathemanic,0
1009677,Matsu'o Tsurayaba,0
1009463,Matthew Murdock,29
1010793,Mattie Franklin,0
1009436,Mauler,5
1010947,Maverick (Chris Bradley),5
1009437,Maverick (Christoph Nord),10
1011305,Maximus,28
1009490,May Parker,171
1009438,Medusa,168
1011399,Meggan,22
1009439,Meltdown,70
1011241,Menace,40
1011099,Mentallo,3
1011184,Mentor,2
1009440,Mephisto,124
1009441,Mephistopheles,0
1010681,Mercury,20
1009442,Mesmero,35
1009443,Metal Master,0
1010361,Meteorite,1
1011340,MI: 13,0
1009444,Micro/Macro,0
1010690,Microbe,6
1011134,Microchip,12
1010871,Micromax,6
1010891,Midnight (Earth-811),0
1010924,Miek,3
1009530,Mikhail Rasputin,11
1011192,Millenium Guard,0
1010894,Millie the Model,33
1009445,Mimic,36
1011204,Mindworm,1
1013727,Miracleman,6
1011424,Miss America,52
1009446,Mister Fear,4
1009447,Mister Sinister,129
1017318,Mister Sinister (Deadpool),0
1010948,Mister Sinister (House of M),0
1011254,Mister Sinister (Ultimate),3
1010682,Misty Knight,193
1011220,Mockingbird,91
1009410,Moira MacTaggert,42
1010941,Moira MacTaggert (Ultimate),2
1009448,Mojo,55
1009449,Mole Man,71
1011019,Molecule Man,10
1010691,Molly Hayes,17
1009541,Molly Von Richtofen,2
1011370,Molten Man,7
1010876,Mongoose,2
1009450,Mongu (Unrevealed),0
1010331,Monster Badoon,2
1017814,Moon Girl (Lunella Layfayette),109
1009452,Moon Knight,409
1010949,Moon Knight (House of M),1
1014998,Moon Knight (Ultimate),8
1009451,Moondragon,80
1010362,Moonstone,38
1009454,Morbius,111
1010902,Mordo,1
1009455,Morg,6
1013190,Morgan Le Fay,15
1009623,Morgan Stark,4
1011008,Morlocks,10
1011088,Morlun,13
1009456,Morph,21
1009457,Mother Askani,10
1009458,Mr. Bumpo,0
1009459,Mr. Fantastic,597
1010950,Mr. Fantastic (Ultimate),53
1010900,Mr. Fish,1
1009460,Mr. Fixit,26
1010347,Mr. Hyde,34
1010840,Mr. Immortal,6
1014984,Mr. Meugniot,0
1011244,Mr. Negative,28
1009461,Mr. Payback,0
1009462,Mr. X,8
1017824,Ms. America (America Chavez),82
1017577,Ms. Marvel (Kamala Khan),289
1011372,MS2,0
1011210,Mulholland Black,11
1011056,Multiple Man,60
1010826,MVP,4
1009464,Mysterio,93
1010951,Mysterio (Daniel Berkhart),0
1010952,Mysterio (Francis Klum),3
1009465,Mystique,230
1010953,Mystique (Age of Apocalypse),2
1010954,Mystique (House of M),1
1011129,Mystique (Ultimate),11
1013483,Nakia (Nakia),2
1009466,Namor,368
1009468,Namora,52
1009469,Namorita,67
1014978,Naoko,0
1009547,Natasha Romanoff,20
1010365,Nebula,33
1011302,Nehzno,0
1011422,Nekra,9
1011086,Nemesis,35
1010831,Network,0
1010815,New Goblin,0
1011336,New Mutants,307
1010683,New Warriors,114
1011271,New X-Men,46
1011269,Newton Destine,3
1011303,Next Avengers,1
1010685,Nextwave,13
1009471,Nick Fury,563
1017298,Nick Fury (LEGO Marvel Super Heroes),0
1011007,Nick Fury (Ultimate),85
1010746,Nico Minoru,29
1010706,Nicolaos,2
1011282,Night Nurse (Earth-9997),0
1014057,Night Nurse (Linda Carter),11
1010684,Night Thrasher,50
1014063,Night Thrasher (Dwayne Taylor),14
1009472,Nightcrawler,650
1011337,Nightcrawler (Ultimate),38
1010349,Nighthawk,59
1009473,Nightmare,68
1011124,Nightshade,4
1011409,Nine-Fold Daughters of Xao,1
1010797,Nitro,11
1009474,Nocturne,33
1009475,Nomad,24
1011427,Nomad (Rikki Barnes),20
1010955,Nomad (Steve Rogers),4
1009325,Norman Osborn,209
1010063,Norrin Radd,0
1009476,Northstar,109
1009477,Nova,197
1010956,Nova (Frankie Raye),8
1017078,Nova (Sam Alexander),116
1016837,Nova (USM),0
1010707,Nuke,12
1009620,Obadiah Stane,4
1009480,Odin,224
1009481,Ogun,8
1017840,Okoye,10
1010882,Old Lace,13
1017810,Old Man Logan (Earth-807128),160
1014160,Omega (Michael Pointer),1
1010757,Omega Flight,10
